APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-08-01,3128,2970.848900996468
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-08-01,2500,2662.843643873604
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2014-12-01,2806,2781.8876528656856
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-12-01,3221,3311.07604529436
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-02-01,2820,2795.004525969785
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-02-01,2763,2362.4756422296705
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-01-01,2758,2669.9809617605342
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-01-01,3178,2683.3665480267036
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-07-01,3357,2717.0321038467364
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-07-01,4943,2731.6675490714933
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-06-01,3244,2734.933309576191
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-06-01,5350,2780.2910943636602
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-03-01,2725,2895.923207048517
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-03-01,2863,3056.671196335309
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-05-01,2125,3205.525366500054
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-05-01,4006,3244.1500401235166
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2014-11-01,3291,2936.5497093033005
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-11-01,3208,3410.9304348918486
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2014-10-01,1546,5033.3852860295065
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-10-01,2644,4425.404140549588
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2016-10-01,1768,4000.682064138939
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2014-09-01,2393,2183.2381306517686
Akluj,Bitter Gourd,Akluj-Bitter Gourd,2015-09-01,2031,1288.6908799923262
